word,N,Name,Authorship,Disputed
too,3,Federalist No. 1,Hamilton,no
under,3,Federalist No. 1,Hamilton,no
zeal,3,Federalist No. 1,Hamilton,no
1,2,Federalist No. 1,Hamilton,no
adoption,2,Federalist No. 1,Hamilton,no
after,2,Federalist No. 1,Hamilton,no
against,2,Federalist No. 1,Hamilton,no
already,2,Federalist No. 1,Hamilton,no
apt,2,Federalist No. 1,Hamilton,no
but,2,Federalist No. 1,Hamilton,no
choice,2,Federalist No. 1,Hamilton,no
class,2,Federalist No. 1,Hamilton,no
conduct,2,Federalist No. 1,Hamilton,no
confederacies,2,Federalist No. 1,Hamilton,no
consequences,2,Federalist No. 1,Hamilton,no
country,2,Federalist No. 1,Hamilton,no
course,2,Federalist No. 1,Hamilton,no
decision,2,Federalist No. 1,Hamilton,no
doubt,2,Federalist No. 1,Hamilton,no
efficiency,2,Federalist No. 1,Hamilton,no
either,2,Federalist No. 1,Hamilton,no
empire,2,Federalist No. 1,Hamilton,no
even,2,Federalist No. 1,Hamilton,no
feel,2,Federalist No. 1,Hamilton,no
forgotten,2,Federalist No. 1,Hamilton,no
former,2,Federalist No. 1,Hamilton,no
give,2,Federalist No. 1,Hamilton,no
hand,2,Federalist No. 1,Hamilton,no
head,2,Federalist No. 1,Hamilton,no
hope,2,Federalist No. 1,Hamilton,no
idea,2,Federalist No. 1,Hamilton,no
inducements,2,Federalist No. 1,Hamilton,no
intentions,2,Federalist No. 1,Hamilton,no
interesting,2,Federalist No. 1,Hamilton,no
interests,2,Federalist No. 1,Hamilton,no
into,2,Federalist No. 1,Hamilton,no
jealousy,2,Federalist No. 1,Hamilton,no
judged,2,Federalist No. 1,Hamilton,no
judgment,2,Federalist No. 1,Hamilton,no
led,2,Federalist No. 1,Hamilton,no
might,2,Federalist No. 1,Hamilton,no
moderation,2,Federalist No. 1,Hamilton,no
most,2,Federalist No. 1,Hamilton,no
motives,2,Federalist No. 1,Hamilton,no
necessity,2,Federalist No. 1,Hamilton,no
number,2,Federalist No. 1,Hamilton,no
observations,2,Federalist No. 1,Hamilton,no
offered,2,Federalist No. 1,Hamilton,no
open,2,Federalist No. 1,Hamilton,no
oppose,2,Federalist No. 1,Hamilton,no
parties,2,Federalist No. 1,Hamilton,no
passions,2,Federalist No. 1,Hamilton,no
power,2,Federalist No. 1,Hamilton,no
proposed,2,Federalist No. 1,Hamilton,no
public,2,Federalist No. 1,Hamilton,no
question,2,Federalist No. 1,Hamilton,no
reflection,2,Federalist No. 1,Hamilton,no
rights,2,Federalist No. 1,Hamilton,no
same,2,Federalist No. 1,Hamilton,no
security,2,Federalist No. 1,Hamilton,no
several,2,Federalist No. 1,Hamilton,no
side,2,Federalist No. 1,Hamilton,no
states,2,Federalist No. 1,Hamilton,no
them,2,Federalist No. 1,Hamilton,no
themselves,2,Federalist No. 1,Hamilton,no
there,2,Federalist No. 1,Hamilton,no
true,2,Federalist No. 1,Hamilton,no
us,2,Federalist No. 1,Hamilton,no
utility,2,Federalist No. 1,Hamilton,no
view,2,Federalist No. 1,Hamilton,no
views,2,Federalist No. 1,Hamilton,no
welfare,2,Federalist No. 1,Hamilton,no
whether,2,Federalist No. 1,Hamilton,no
would,2,Federalist No. 1,Hamilton,no
wrong,2,Federalist No. 1,Hamilton,no
able,1,Federalist No. 1,Hamilton,no
absurd,1,Federalist No. 1,Hamilton,no
accident,1,Federalist No. 1,Hamilton,no
accordingly,1,Federalist No. 1,Hamilton,no
acknowledge,1,Federalist No. 1,Hamilton,no
act,1,Federalist No. 1,Hamilton,no
actuated,1,Federalist No. 1,Hamilton,no
add,1,Federalist No. 1,Hamilton,no
additional,1,Federalist No. 1,Hamilton,no
address,1,Federalist No. 1,Hamilton,no
admit,1,Federalist No. 1,Hamilton,no
adopt,1,Federalist No. 1,Hamilton,no
advantages,1,Federalist No. 1,Hamilton,no
adversaries,1,Federalist No. 1,Hamilton,no
advocate,1,Federalist No. 1,Hamilton,no
affect,1,Federalist No. 1,Hamilton,no
affects,1,Federalist No. 1,Hamilton,no
afford,1,Federalist No. 1,Hamilton,no
aggrandize,1,Federalist No. 1,Hamilton,no
aim,1,Federalist No. 1,Hamilton,no
allowed,1,Federalist No. 1,Hamilton,no
alternative,1,Federalist No. 1,Hamilton,no
always,1,Federalist No. 1,Hamilton,no
ambiguity,1,Federalist No. 1,Hamilton,no
ambitious,1,Federalist No. 1,Hamilton,no
america,1,Federalist No. 1,Hamilton,no
among,1,Federalist No. 1,Hamilton,no
amuse,1,Federalist No. 1,Hamilton,no
analogy,1,Federalist No. 1,Hamilton,no
angry,1,Federalist No. 1,Hamilton,no
animosity,1,Federalist No. 1,Hamilton,no
another,1,Federalist No. 1,Hamilton,no
answer,1,Federalist No. 1,Hamilton,no
antagonists,1,Federalist No. 1,Hamilton,no
ardently,1,Federalist No. 1,Hamilton,no
arrived,1,Federalist No. 1,Hamilton,no
artifice,1,Federalist No. 1,Hamilton,no
astray,1,Federalist No. 1,Hamilton,no
attainment,1,Federalist No. 1,Hamilton,no
attempts,1,Federalist No. 1,Hamilton,no
attended,1,Federalist No. 1,Hamilton,no
attention,1,Federalist No. 1,Hamilton,no
attentive,1,Federalist No. 1,Hamilton,no
avarice,1,Federalist No. 1,Hamilton,no
avowal,1,Federalist No. 1,Hamilton,no
aware,1,Federalist No. 1,Hamilton,no
bait,1,Federalist No. 1,Hamilton,no
because,1,Federalist No. 1,Hamilton,no
before,1,Federalist No. 1,Hamilton,no
begin,1,Federalist No. 1,Hamilton,no
begun,1,Federalist No. 1,Hamilton,no
behind,1,Federalist No. 1,Hamilton,no
being,1,Federalist No. 1,Hamilton,no
bias,1,Federalist No. 1,Hamilton,no
bitterness,1,Federalist No. 1,Hamilton,no
blameless,1,Federalist No. 1,Hamilton,no
body,1,Federalist No. 1,Hamilton,no
breast,1,Federalist No. 1,Hamilton,no
called,1,Federalist No. 1,Hamilton,no
candor,1,Federalist No. 1,Hamilton,no
cannot,1,Federalist No. 1,Hamilton,no
capable,1,Federalist No. 1,Hamilton,no
career,1,Federalist No. 1,Hamilton,no
cases,1,Federalist No. 1,Hamilton,no
cause,1,Federalist No. 1,Hamilton,no
causes,1,Federalist No. 1,Hamilton,no
caution,1,Federalist No. 1,Hamilton,no
changes,1,Federalist No. 1,Hamilton,no
characterized,1,Federalist No. 1,Hamilton,no
circles,1,Federalist No. 1,Hamilton,no
circumstance,1,Federalist No. 1,Hamilton,no
citizens,1,Federalist No. 1,Hamilton,no
claim,1,Federalist No. 1,Hamilton,no
clearly,1,Federalist No. 1,Hamilton,no
collected,1,Federalist No. 1,Hamilton,no
commencing,1,Federalist No. 1,Hamilton,no
commonly,1,Federalist No. 1,Hamilton,no
composed,1,Federalist No. 1,Hamilton,no
comprehending,1,Federalist No. 1,Hamilton,no
conclude,1,Federalist No. 1,Hamilton,no
concomitant,1,Federalist No. 1,Hamilton,no
confederation,1,Federalist No. 1,Hamilton,no
conformity,1,Federalist No. 1,Hamilton,no
confusions,1,Federalist No. 1,Hamilton,no
connected,1,Federalist No. 1,Hamilton,no
consciousness,1,Federalist No. 1,Hamilton,no
consequence,1,Federalist No. 1,Hamilton,no
considerate,1,Federalist No. 1,Hamilton,no
consideration,1,Federalist No. 1,Hamilton,no
considerations,1,Federalist No. 1,Hamilton,no
considered,1,Federalist No. 1,Hamilton,no
constitute,1,Federalist No. 1,Hamilton,no
constitutions,1,Federalist No. 1,Hamilton,no
contemplation,1,Federalist No. 1,Hamilton,no
controversy,1,Federalist No. 1,Hamilton,no
converts,1,Federalist No. 1,Hamilton,no
convictions,1,Federalist No. 1,Hamilton,no
convinced,1,Federalist No. 1,Hamilton,no
could,1,Federalist No. 1,Hamilton,no
countenance,1,Federalist No. 1,Hamilton,no
countrymen,1,Federalist No. 1,Hamilton,no
court,1,Federalist No. 1,Hamilton,no
crisis,1,Federalist No. 1,Hamilton,no
cured,1,Federalist No. 1,Hamilton,no
danger,1,Federalist No. 1,Hamilton,no
dangerous,1,Federalist No. 1,Hamilton,no
dangers,1,Federalist No. 1,Hamilton,no
decide,1,Federalist No. 1,Hamilton,no
decided,1,Federalist No. 1,Hamilton,no
declamations,1,Federalist No. 1,Hamilton,no
deeply,1,Federalist No. 1,Hamilton,no
deliberate,1,Federalist No. 1,Hamilton,no
deliberation,1,Federalist No. 1,Hamilton,no
deliberations,1,Federalist No. 1,Hamilton,no
demagogues,1,Federalist No. 1,Hamilton,no
depend,1,Federalist No. 1,Hamilton,no
depository,1,Federalist No. 1,Hamilton,no
deserve,1,Federalist No. 1,Hamilton,no
design,1,Federalist No. 1,Hamilton,no
despotic,1,Federalist No. 1,Hamilton,no
despotism,1,Federalist No. 1,Hamilton,no
destined,1,Federalist No. 1,Hamilton,no
dignity,1,Federalist No. 1,Hamilton,no
diminution,1,Federalist No. 1,Hamilton,no
directed,1,Federalist No. 1,Hamilton,no
discovery,1,Federalist No. 1,Hamilton,no
discuss,1,Federalist No. 1,Hamilton,no
disdains,1,Federalist No. 1,Hamilton,no
disgrace,1,Federalist No. 1,Hamilton,no
disingenuous,1,Federalist No. 1,Hamilton,no
dismemberment,1,Federalist No. 1,Hamilton,no
dissolution,1,Federalist No. 1,Hamilton,no
distinct,1,Federalist No. 1,Hamilton,no
distinguished,1,Federalist No. 1,Hamilton,no
distrust,1,Federalist No. 1,Hamilton,no
do,1,Federalist No. 1,Hamilton,no
doctrine,1,Federalist No. 1,Hamilton,no
doubted,1,Federalist No. 1,Hamilton,no
drawn,1,Federalist No. 1,Hamilton,no
duly,1,Federalist No. 1,Hamilton,no
dwell,1,Federalist No. 1,Hamilton,no
election,1,Federalist No. 1,Hamilton,no
elevation,1,Federalist No. 1,Hamilton,no
emolument,1,Federalist No. 1,Hamilton,no
encounter,1,Federalist No. 1,Hamilton,no
endeavor,1,Federalist No. 1,Hamilton,no
ending,1,Federalist No. 1,Hamilton,no
energetic,1,Federalist No. 1,Hamilton,no
energy,1,Federalist No. 1,Hamilton,no
engraved,1,Federalist No. 1,Hamilton,no
enlarged,1,Federalist No. 1,Hamilton,no
enlightened,1,Federalist No. 1,Hamilton,no
enough,1,Federalist No. 1,Hamilton,no
enthusiasm,1,Federalist No. 1,Hamilton,no
era,1,Federalist No. 1,Hamilton,no
errors,1,Federalist No. 1,Hamilton,no
essential,1,Federalist No. 1,Hamilton,no
establishing,1,Federalist No. 1,Hamilton,no
establishments,1,Federalist No. 1,Hamilton,no
estimate,1,Federalist No. 1,Hamilton,no
event,1,Federalist No. 1,Hamilton,no
ever,1,Federalist No. 1,Hamilton,no
evidence,1,Federalist No. 1,Hamilton,no
evident,1,Federalist No. 1,Hamilton,no
evils,1,Federalist No. 1,Hamilton,no
evince,1,Federalist No. 1,Hamilton,no
examining,1,Federalist No. 1,Hamilton,no
example,1,Federalist No. 1,Hamilton,no
existence,1,Federalist No. 1,Hamilton,no
expected,1,Federalist No. 1,Hamilton,no
expense,1,Federalist No. 1,Hamilton,no
experience,1,Federalist No. 1,Hamilton,no
exposed,1,Federalist No. 1,Hamilton,no
extent,1,Federalist No. 1,Hamilton,no
eye,1,Federalist No. 1,Hamilton,no
fact,1,Federalist No. 1,Hamilton,no
fairer,1,Federalist No. 1,Hamilton,no
false,1,Federalist No. 1,Hamilton,no
fate,1,Federalist No. 1,Hamilton,no
fault,1,Federalist No. 1,Hamilton,no
favorable,1,Federalist No. 1,Hamilton,no
fears,1,Federalist No. 1,Hamilton,no
federal,1,Federalist No. 1,Hamilton,no
fellow,1,Federalist No. 1,Hamilton,no
fire,1,Federalist No. 1,Hamilton,no
firmness,1,Federalist No. 1,Hamilton,no
first,1,Federalist No. 1,Hamilton,no
flatter,1,Federalist No. 1,Hamilton,no
following,1,Federalist No. 1,Hamilton,no
fond,1,Federalist No. 1,Hamilton,no
forbidden,1,Federalist No. 1,Hamilton,no
force,1,Federalist No. 1,Hamilton,no
foreign,1,Federalist No. 1,Hamilton,no
forever,1,Federalist No. 1,Hamilton,no
formidable,1,Federalist No. 1,Hamilton,no
found,1,Federalist No. 1,Hamilton,no
founded,1,Federalist No. 1,Hamilton,no
frankly,1,Federalist No. 1,Hamilton,no
freely,1,Federalist No. 1,Hamilton,no
frequently,1,Federalist No. 1,Hamilton,no
furnish,1,Federalist No. 1,Hamilton,no
further,1,Federalist No. 1,Hamilton,no
given,1,Federalist No. 1,Hamilton,no
gradually,1,Federalist No. 1,Hamilton,no
greatest,1,Federalist No. 1,Hamilton,no
guard,1,Federalist No. 1,Hamilton,no
had,1,Federalist No. 1,Hamilton,no
happen,1,Federalist No. 1,Hamilton,no
happiness,1,Federalist No. 1,Hamilton,no
happy,1,Federalist No. 1,Hamilton,no
having,1,Federalist No. 1,Hamilton,no
hazard,1,Federalist No. 1,Hamilton,no
hear,1,Federalist No. 1,Hamilton,no
heart,1,Federalist No. 1,Hamilton,no
hearts,1,Federalist No. 1,Hamilton,no
heighten,1,Federalist No. 1,Hamilton,no
held,1,Federalist No. 1,Hamilton,no
hereafter,1,Federalist No. 1,Hamilton,no
heresies,1,Federalist No. 1,Hamilton,no
history,1,Federalist No. 1,Hamilton,no
hold,1,Federalist No. 1,Hamilton,no
honest,1,Federalist No. 1,Hamilton,no
hostile,1,Federalist No. 1,Hamilton,no
ill,1,Federalist No. 1,Hamilton,no
illiberal,1,Federalist No. 1,Hamilton,no
imagined,1,Federalist No. 1,Hamilton,no
importance,1,Federalist No. 1,Hamilton,no
important,1,Federalist No. 1,Hamilton,no
impressions,1,Federalist No. 1,Hamilton,no
increase,1,Federalist No. 1,Hamilton,no
indeed,1,Federalist No. 1,Hamilton,no
indications,1,Federalist No. 1,Hamilton,no
indiscriminately,1,Federalist No. 1,Hamilton,no
inefficacy,1,Federalist No. 1,Hamilton,no
infected,1,Federalist No. 1,Hamilton,no
influence,1,Federalist No. 1,Hamilton,no
influenced,1,Federalist No. 1,Hamilton,no
informed,1,Federalist No. 1,Hamilton,no
innovates,1,Federalist No. 1,Hamilton,no
institutions,1,Federalist No. 1,Hamilton,no
insufficiency,1,Federalist No. 1,Hamilton,no
interested,1,Federalist No. 1,Hamilton,no
intolerant,1,Federalist No. 1,Hamilton,no
introduction,1,Federalist No. 1,Hamilton,no
invectives,1,Federalist No. 1,Hamilton,no
involve,1,Federalist No. 1,Hamilton,no
jealousies,1,Federalist No. 1,Hamilton,no
judge,1,Federalist No. 1,Hamilton,no
judicious,1,Federalist No. 1,Hamilton,no
just,1,Federalist No. 1,Hamilton,no
justness,1,Federalist No. 1,Hamilton,no
lastly,1,Federalist No. 1,Hamilton,no
late,1,Federalist No. 1,Hamilton,no
latter,1,Federalist No. 1,Hamilton,no
laudable,1,Federalist No. 1,Hamilton,no
lay,1,Federalist No. 1,Hamilton,no
less,1,Federalist No. 1,Hamilton,no
lesson,1,Federalist No. 1,Hamilton,no
let,1,Federalist No. 1,Hamilton,no
liberties,1,Federalist No. 1,Hamilton,no
little,1,Federalist No. 1,Hamilton,no
local,1,Federalist No. 1,Hamilton,no
loose,1,Federalist No. 1,Hamilton,no
loudness,1,Federalist No. 1,Hamilton,no
love,1,Federalist No. 1,Hamilton,no
lurks,1,Federalist No. 1,Hamilton,no
magnitude,1,Federalist No. 1,Hamilton,no
make,1,Federalist No. 1,Hamilton,no
making,1,Federalist No. 1,Hamilton,no
malignant,1,Federalist No. 1,Hamilton,no
mankind,1,Federalist No. 1,Hamilton,no
mask,1,Federalist No. 1,Hamilton,no
matter,1,Federalist No. 1,Hamilton,no
mere,1,Federalist No. 1,Hamilton,no
merely,1,Federalist No. 1,Hamilton,no
merits,1,Federalist No. 1,Hamilton,no
minds,1,Federalist No. 1,Hamilton,no
misfortune,1,Federalist No. 1,Hamilton,no
moment,1,Federalist No. 1,Hamilton,no
multiply,1,Federalist No. 1,Hamilton,no
mutually,1,Federalist No. 1,Hamilton,no
narrow,1,Federalist No. 1,Hamilton,no
national,1,Federalist No. 1,Hamilton,no
nature,1,Federalist No. 1,Hamilton,no
never,1,Federalist No. 1,Hamilton,no
next,1,Federalist No. 1,Hamilton,no
noble,1,Federalist No. 1,Hamilton,no
numerous,1,Federalist No. 1,Hamilton,no
object,1,Federalist No. 1,Hamilton,no
objections,1,Federalist No. 1,Hamilton,no
objects,1,Federalist No. 1,Hamilton,no
oblige,1,Federalist No. 1,Hamilton,no
obsequious,1,Federalist No. 1,Hamilton,no
obstacles,1,Federalist No. 1,Hamilton,no
obvious,1,Federalist No. 1,Hamilton,no
occasions,1,Federalist No. 1,Hamilton,no
offer,1,Federalist No. 1,Hamilton,no
offices,1,Federalist No. 1,Hamilton,no
offspring,1,Federalist No. 1,Hamilton,no
often,1,Federalist No. 1,Hamilton,no
operate,1,Federalist No. 1,Hamilton,no
opinion,1,Federalist No. 1,Hamilton,no
opinions,1,Federalist No. 1,Hamilton,no
opposite,1,Federalist No. 1,Hamilton,no
out,1,Federalist No. 1,Hamilton,no
over,1,Federalist No. 1,Hamilton,no
overturned,1,Federalist No. 1,Hamilton,no
papers,1,Federalist No. 1,Hamilton,no
part,1,Federalist No. 1,Hamilton,no
partial,1,Federalist No. 1,Hamilton,no
particular,1,Federalist No. 1,Hamilton,no
particulars,1,Federalist No. 1,Hamilton,no
parts,1,Federalist No. 1,Hamilton,no
party,1,Federalist No. 1,Hamilton,no
patriotism,1,Federalist No. 1,Hamilton,no
paying,1,Federalist No. 1,Hamilton,no
perhaps,1,Federalist No. 1,Hamilton,no
persecution,1,Federalist No. 1,Hamilton,no
personal,1,Federalist No. 1,Hamilton,no
persuaded,1,Federalist No. 1,Hamilton,no
perverted,1,Federalist No. 1,Hamilton,no
philanthropy,1,Federalist No. 1,Hamilton,no
plan,1,Federalist No. 1,Hamilton,no
point,1,Federalist No. 1,Hamilton,no
politics,1,Federalist No. 1,Hamilton,no
popularity,1,Federalist No. 1,Hamilton,no
portions,1,Federalist No. 1,Hamilton,no
powerful,1,Federalist No. 1,Hamilton,no
preceding,1,Federalist No. 1,Hamilton,no
preconceived,1,Federalist No. 1,Hamilton,no
prejudices,1,Federalist No. 1,Hamilton,no
present,1,Federalist No. 1,Hamilton,no
preservation,1,Federalist No. 1,Hamilton,no
preserve,1,Federalist No. 1,Hamilton,no
pretense,1,Federalist No. 1,Hamilton,no
private,1,Federalist No. 1,Hamilton,no
probability,1,Federalist No. 1,Hamilton,no
probable,1,Federalist No. 1,Hamilton,no
proceed,1,Federalist No. 1,Hamilton,no
professions,1,Federalist No. 1,Hamilton,no
progress,1,Federalist No. 1,Hamilton,no
propagated,1,Federalist No. 1,Hamilton,no
property,1,Federalist No. 1,Hamilton,no
propose,1,Federalist No. 1,Hamilton,no
propriety,1,Federalist No. 1,Hamilton,no
proselytes,1,Federalist No. 1,Hamilton,no
prospects,1,Federalist No. 1,Hamilton,no
prosperity,1,Federalist No. 1,Hamilton,no
prove,1,Federalist No. 1,Hamilton,no
publications,1,Federalist No. 1,Hamilton,no
publius,1,Federalist No. 1,Hamilton,no
purer,1,Federalist No. 1,Hamilton,no
putting,1,Federalist No. 1,Hamilton,no
quarter,1,Federalist No. 1,Hamilton,no
questions,1,Federalist No. 1,Hamilton,no
rarely,1,Federalist No. 1,Hamilton,no
readily,1,Federalist No. 1,Hamilton,no
really,1,Federalist No. 1,Hamilton,no
reason,1,Federalist No. 1,Hamilton,no
reasons,1,Federalist No. 1,Hamilton,no
regarded,1,Federalist No. 1,Hamilton,no
religion,1,Federalist No. 1,Hamilton,no
remain,1,Federalist No. 1,Hamilton,no
remark,1,Federalist No. 1,Hamilton,no
remarked,1,Federalist No. 1,Hamilton,no
represented,1,Federalist No. 1,Hamilton,no
republican,1,Federalist No. 1,Hamilton,no
republics,1,Federalist No. 1,Hamilton,no
reserved,1,Federalist No. 1,Hamilton,no
reserves,1,Federalist No. 1,Hamilton,no
resist,1,Federalist No. 1,Hamilton,no
resolve,1,Federalist No. 1,Hamilton,no
resort,1,Federalist No. 1,Hamilton,no
respect,1,Federalist No. 1,Hamilton,no
respectable,1,Federalist No. 1,Hamilton,no
respects,1,Federalist No. 1,Hamilton,no
result,1,Federalist No. 1,Hamilton,no
road,1,Federalist No. 1,Hamilton,no
safest,1,Federalist No. 1,Hamilton,no
safety,1,Federalist No. 1,Hamilton,no
satisfactory,1,Federalist No. 1,Hamilton,no
scope,1,Federalist No. 1,Hamilton,no
scrupulous,1,Federalist No. 1,Hamilton,no
see,1,Federalist No. 1,Hamilton,no
seem,1,Federalist No. 1,Hamilton,no
seems,1,Federalist No. 1,Hamilton,no
sentiments,1,Federalist No. 1,Hamilton,no
separate,1,Federalist No. 1,Hamilton,no
separated,1,Federalist No. 1,Hamilton,no
series,1,Federalist No. 1,Hamilton,no
seriously,1,Federalist No. 1,Hamilton,no
serve,1,Federalist No. 1,Hamilton,no
set,1,Federalist No. 1,Hamilton,no
should,1,Federalist No. 1,Hamilton,no
situations,1,Federalist No. 1,Hamilton,no
societies,1,Federalist No. 1,Hamilton,no
society,1,Federalist No. 1,Hamilton,no
solicitude,1,Federalist No. 1,Hamilton,no
sound,1,Federalist No. 1,Hamilton,no
source,1,Federalist No. 1,Hamilton,no
sources,1,Federalist No. 1,Hamilton,no
speaks,1,Federalist No. 1,Hamilton,no
species,1,Federalist No. 1,Hamilton,no
specious,1,Federalist No. 1,Hamilton,no
spring,1,Federalist No. 1,Hamilton,no
stale,1,Federalist No. 1,Hamilton,no
stigmatized,1,Federalist No. 1,Hamilton,no
subdivision,1,Federalist No. 1,Hamilton,no
subsisting,1,Federalist No. 1,Hamilton,no
such,1,Federalist No. 1,Hamilton,no
sufficient,1,Federalist No. 1,Hamilton,no
superfluous,1,Federalist No. 1,Hamilton,no
support,1,Federalist No. 1,Hamilton,no
sure,1,Federalist No. 1,Hamilton,no
suspicion,1,Federalist No. 1,Hamilton,no
sword,1,Federalist No. 1,Hamilton,no
system,1,Federalist No. 1,Hamilton,no
take,1,Federalist No. 1,Hamilton,no
teach,1,Federalist No. 1,Hamilton,no
temper,1,Federalist No. 1,Hamilton,no
therefore,1,Federalist No. 1,Hamilton,no
thing,1,Federalist No. 1,Hamilton,no
thirteen,1,Federalist No. 1,Hamilton,no
thought,1,Federalist No. 1,Hamilton,no
till,1,Federalist No. 1,Hamilton,no
time,1,Federalist No. 1,Hamilton,no
times,1,Federalist No. 1,Hamilton,no
torrent,1,Federalist No. 1,Hamilton,no
tracing,1,Federalist No. 1,Hamilton,no
tyrants,1,Federalist No. 1,Hamilton,no
unbiased,1,Federalist No. 1,Hamilton,no
unequivocal,1,Federalist No. 1,Hamilton,no
unfriendly,1,Federalist No. 1,Hamilton,no
united,1,Federalist No. 1,Hamilton,no
unperplexed,1,Federalist No. 1,Hamilton,no
upright,1,Federalist No. 1,Hamilton,no
use,1,Federalist No. 1,Hamilton,no
usual,1,Federalist No. 1,Hamilton,no
utmost,1,Federalist No. 1,Hamilton,no
variety,1,Federalist No. 1,Hamilton,no
vigor,1,Federalist No. 1,Hamilton,no
votaries,1,Federalist No. 1,Hamilton,no
were,1,Federalist No. 1,Hamilton,no
whatever,1,Federalist No. 1,Hamilton,no
when,1,Federalist No. 1,Hamilton,no
whispered,1,Federalist No. 1,Hamilton,no
whole,1,Federalist No. 1,Hamilton,no
wise,1,Federalist No. 1,Hamilton,no
wished,1,Federalist No. 1,Hamilton,no
world,1,Federalist No. 1,Hamilton,no
yes,1,Federalist No. 1,Hamilton,no
yet,1,Federalist No. 1,Hamilton,no
york,1,Federalist No. 1,Hamilton,no
the,107,Federalist No. 2,,no
and,83,Federalist No. 2,,no
of,83,Federalist No. 2,,no
to,53,Federalist No. 2,,no
that,44,Federalist No. 2,,no
it,38,Federalist No. 2,,no
in,34,Federalist No. 2,,no
a,30,Federalist No. 2,,no
people,23,Federalist No. 2,,no
they,22,Federalist No. 2,,no
their,21,Federalist No. 2,,no
have,17,Federalist No. 2,,no
as,16,Federalist No. 2,,no
is,16,Federalist No. 2,,no
be,15,Federalist No. 2,,no
this,14,Federalist No. 2,,no
for,13,Federalist No. 2,,no
